exp_id,agent_id,env_id,policy_id,exp_seed,num_episodes,episode_return_mean,episode_return_std,episode_return_max,episode_return_min,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,num_episode_done,num_LOSS,num_DRAW,num_WIN,num_NA
152,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.81165,0.407457700258566,0.4,-2.1,49.624,3.95330545240309,0.228599150180817,1.53146727840762,1000,9,0,0,991
202,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.76415,0.410484198843268,0.3,-2.1,49.922,1.76292824584553,0.229816876411438,1.53880015884176,1000,2,0,0,998
104,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.78475,0.408362507461202,0.5,-2.05,49.612,4.07448843414729,0.229430130243301,1.54087864574298,1000,9,0,0,991
103,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.790700000000001,0.411738399958032,0.5,-2.1,49.621,3.97886403386695,0.231517992258072,1.54914652931931,1000,9,0,0,991
52,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.776749999999998,0.403611121625756,0.4,-2.1,49.345,5.14237056229906,0.227062877416611,1.52494415631931,1000,16,0,0,984
55,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.790999999999999,0.407349972382471,0.95,-1.95,48.862,6.63392463026224,0.214194043159485,1.45136826022211,1000,33,0,0,967
0,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8724,0.450719691160704,0.45,-2.4,46.955,8.59086578873166,0.160284130811691,1.5191566403654,1000,144,0,0,856
0,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.84585,0.442227630864467,0.6,-2.15,46.955,8.59086578873166,0.160284130811691,1.5191566403654,1000,144,0,0,856
7,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.782399999999999,0.377862726396769,0.45,-2,49.742,3.32376834331155,0.215451092004776,1.46923744485096,1000,6,0,0,994
42,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.776199999999999,0.406587702716155,0.55,-2.2,49.91,2.01044771133198,0.228562121152878,1.53760422478225,1000,2,0,0,998
153,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8056,0.402540234013943,0.45,-1.9,49.911,1.98823514705882,0.229637287855148,1.54320789018186,1000,2,0,0,998
14,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.77755,0.417418851395094,1.85,-2.1,49.49,4.56069073715813,0.229955024242401,1.56850483783694,1000,12,0,2,986
6,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.80245,0.389828805374873,0.55,-1.9,49.875,2.28590791590562,0.228805168151855,1.54375938401677,1000,3,0,0,997
1,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.779999999999999,0.398948618245508,0.4,-2.1,49.403,5.01922215089151,0.227577149868011,1.53340170160328,1000,14,0,0,986
54,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.7851,0.405170322210301,0.6,-2.15,49.537,4.40620369479215,0.212353287935257,1.43212830848698,1000,11,0,0,989
28,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.77195,0.392683966441208,0.35,-2.15,49.1,5.91962836671357,0.203125642776489,1.38486531583204,1000,23,0,0,977
53,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8056,0.402540234013943,0.45,-1.9,49.911,1.98823514705882,0.227123826980591,1.52008185027119,1000,2,0,0,998
102,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.78375,0.398608125230783,0.45,-2.1,49.05,6.33936116655298,0.228224280118942,1.53462029970708,1000,22,0,0,978
21,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.767899999999999,0.401807901863565,0.55,-2.2,49.865,2.46105160449756,0.22730370092392,1.53036111838933,1000,3,0,0,997
199,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.78735,0.398939190228285,0.55,-2,49.475,4.48791432627674,0.225978628635406,1.50555330583915,1000,15,0,0,985
148,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.792349999999999,0.392044611619648,0.45,-1.9,49.683,3.62856872609573,0.231084537506103,1.55606175488054,1000,8,0,0,992
2,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.79555,0.41315577873243,0.5,-2.1,49.66,3.7866079807659,0.229576505661011,1.55255623029831,1000,8,0,0,992
5,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8056,0.402540234013943,0.45,-1.9,49.911,1.98823514705882,0.229276983737945,1.54920424740096,1000,2,0,0,998
197,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.789850000000001,0.415974130806232,0.4,-2.1,49.032,6.31450520626914,0.228889728307724,1.54457831995874,1000,23,0,0,977
50,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.78245,0.395530653047271,0.45,-2.1,49.051,6.33438229032634,0.224979421377182,1.51641224487994,1000,22,0,0,978
101,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8056,0.402540234013943,0.45,-1.9,49.911,1.98823514705882,0.22632161283493,1.50638652609588,1000,2,0,0,998
99,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.781200000000001,0.418355781602215,0.45,-2.1,49.717,3.38864441923315,0.229496079206467,1.542131743426,1000,7,0,0,993
200,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.801800000000001,0.390232956065989,0.45,-2.1,49.475,4.59797509780121,0.228493732452392,1.51617841200841,1000,13,0,0,987
150,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8056,0.402540234013943,0.45,-1.9,49.911,1.98823514705882,0.23374106502533,1.5607807684848,1000,2,0,0,998
100,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.80415,0.400462579400373,0.5,-1.9,49.224,5.50089301841074,0.229784742355347,1.53449971189914,1000,20,0,0,980
51,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.788399999999999,0.409634520029746,1.4,-2.05,48.973,6.41391230061653,0.226751060247421,1.51918170076598,1000,25,0,1,974
4,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.784550000000001,0.39014586695235,0.5,-2.15,49.217,5.66832523766941,0.229119935274124,1.55234430220409,1000,19,0,0,981
196,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8724,0.450719691160704,0.45,-2.4,46.955,8.59086578873166,0.158752862691879,1.49894315544205,1000,144,0,0,856
147,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8724,0.450719691160704,0.45,-2.4,46.955,8.59086578873166,0.158159351825714,1.49260260668933,1000,144,0,0,856
3,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8056,0.402540234013943,0.45,-1.9,49.911,1.98823514705882,0.230592303037643,1.5609349986904,1000,2,0,0,998
198,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8005,0.40299472701265,0.5,-2,48.611,7.32118016442704,0.224979930400848,1.51173627429745,1000,35,0,0,965
149,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.784550000000001,0.413683209110548,0.4,-2.15,49.172,5.80020827212265,0.232855536222458,1.56775218020517,1000,20,0,0,980
151,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.7874,0.399494981195008,0.45,-2.1,49.138,6.03613750671736,0.225521706104278,1.51463302772334,1000,20,0,0,980
98,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8724,0.450719691160704,0.45,-2.4,46.955,8.59086578873166,0.158891225337982,1.50191350248676,1000,144,0,0,856
49,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8724,0.450719691160704,0.45,-2.4,46.955,8.59086578873166,0.157139166116714,1.48440208458518,1000,144,0,0,856
201,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.773650000000001,0.407790604967795,0.4,-2.1,49.356,5.07929758923417,0.228269889354706,1.53371663782512,1000,16,0,0,984
35,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.783199999999999,0.399384226028019,0.55,-2.2,49.911,1.98823514705882,0.22784198975563,1.53922395026045,1000,2,0,0,998
294,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8724,0.450719691160704,0.45,-2.4,46.955,8.59086578873166,0.158506137609482,1.49516658261538,1000,144,0,0,856
245,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8724,0.450719691160704,0.45,-2.4,46.955,8.59086578873166,0.158537312746048,1.49579229492018,1000,144,0,0,856
245,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.84585,0.442227630864467,0.6,-2.15,46.955,8.59086578873166,0.158537312746048,1.49579229492018,1000,144,0,0,856
393,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.789850000000001,0.415974130806232,0.4,-2.1,49.032,6.31450520626914,0.22795722413063,1.53638885939084,1000,23,0,0,977
266,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.794,0.399948746716376,0.6,-1.9,49.297,5.36533232894291,0.228202958106995,1.52089428064947,1000,17,0,0,983
84,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.783199999999999,0.399384226028019,0.55,-2.2,49.911,1.98823514705882,0.226994663953781,1.52179316130635,1000,2,0,0,998
345,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.784550000000001,0.413683209110548,0.4,-2.15,49.172,5.80020827212265,0.231016174793243,1.55093545455879,1000,20,0,0,980
394,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.8005,0.40299472701265,0.5,-2,48.611,7.32118016442704,0.22479884147644,1.51293206702156,1000,35,0,0,965
295,0,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.781200000000001,0.418355781602215,0.45,-2.1,49.717,3.38864441923315,0.22855264377594,1.53768988678216,1000,7,0,0,993
70,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.767899999999999,0.401807901863565,0.55,-2.2,49.865,2.46105160449756,0.228640033006668,1.53685512541996,1000,3,0,0,997
77,1,Driving14x14WideRoundAbout-n2-v0,uniform_random-v0,0,1000,-0.77195,0.392683966441208,0.35,-2.15,49.1,5.91962836671357,0.206869635105133,1.3858147103593,1000,23,0,0,977
