exp_id,agent_id,env_id,policy_id,exp_seed,num_episodes,time_limit,episode_return_mean,episode_return_std,episode_return_max,episode_return_min,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,num_episode_done,num_LOSS,num_DRAW,num_WIN,num_NA
10,0,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed0-v0,0,1000,None,0.9719999999999992,0.1037861048289005,1.0,0.3333333333333333,23.439,10.039037752693233,0.1359154543876648,0.0578905452017551,1000,0,0,926,74
10,1,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed0-v0,0,1000,None,0.9719999999999992,0.1037861048289005,1.0,0.3333333333333333,23.439,10.039037752693233,0.1359154543876648,0.0578905452017551,1000,0,0,926,74
10,2,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed0-v0,0,1000,None,0.9719999999999992,0.1037861048289005,1.0,0.3333333333333333,23.439,10.039037752693233,0.1359154543876648,0.0578905452017551,1000,0,0,926,74
13,0,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed0-v0,0,1000,None,0.9399999999999984,0.1481740718059518,1.0,0.0,27.307,11.874121062209191,0.1595832464694976,0.0689753944002024,1000,0,0,843,157
13,1,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed1-v0,0,1000,None,0.9399999999999984,0.1481740718059518,1.0,0.0,27.307,11.874121062209191,0.1595832464694976,0.0689753944002024,1000,0,0,843,157
13,2,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed1-v0,0,1000,None,0.9399999999999984,0.1481740718059518,1.0,0.0,27.307,11.874121062209191,0.1595832464694976,0.0689753944002024,1000,0,0,843,157
12,0,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed0-v0,0,1000,None,0.9266666666666652,0.1651934892448505,1.0,0.0,28.417,12.78253147854524,0.1649053258895874,0.0739664588407571,1000,0,0,813,187
12,1,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed0-v0,0,1000,None,0.9266666666666652,0.1651934892448505,1.0,0.0,28.417,12.78253147854524,0.1649053258895874,0.0739664588407571,1000,0,0,813,187
12,2,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed2-v0,0,1000,None,0.9266666666666652,0.1651934892448505,1.0,0.0,28.417,12.78253147854524,0.1649053258895874,0.0739664588407571,1000,0,0,813,187
14,0,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed0-v0,0,1000,None,0.9216666666666646,0.1632227516820691,1.0,0.0,29.805,12.78033548072976,0.1711972029209137,0.0730360306182295,1000,0,0,793,207
14,1,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed1-v0,0,1000,None,0.9216666666666646,0.1632227516820691,1.0,0.0,29.805,12.78033548072976,0.1711972029209137,0.0730360306182295,1000,0,0,793,207
14,2,PredatorPrey10x10-P3-p3-s2-coop-v0,PredatorPrey10x10-P3-p3-s2-coop-v0/sp_seed2-v0,0,1000,None,0.9216666666666646,0.1632227516820691,1.0,0.0,29.805,12.78033548072976,0.1711972029209137,0.0730360306182295,1000,0,0,793,207
2,0,PredatorPrey10x10-P3-p3-s2-coop-v0,random-v0,0,1000,None,0.2350000000000002,0.2863515710140641,1.0,0.0,49.543,2.8907007800877627,0.1056482541561126,0.0079085496509434,1000,0,0,35,965
