exp_id,agent_id,env_id,policy_id,exp_seed,num_episodes,time_limit,episode_return_mean,episode_return_std,episode_return_max,episode_return_min,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,num_episode_done,num_LOSS,num_DRAW,num_WIN,num_NA
3,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/shortestpath-v0,0,1000,None,0.057035398230089,0.910530323001303,0.991150442477876,-0.867256637168142,7.245,3.15990110604747,0.009719250679016,0.004137368106212,1000,504,0,496,0
3,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k2_seed0_i1-v0,0,1000,None,-0.057035398230089,0.910530323001303,0.867256637168142,-0.991150442477876,7.245,3.15990110604747,0.009719250679016,0.004137368106212,1000,496,0,504,0
48,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed0_i0-v0,0,1000,None,-0.59186725663717,0.581301347729481,0.991150442477876,-0.884955752212389,13.889,13.7012655984767,0.038956778526306,0.03829224545798,1000,820,0,104,76
48,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed1_i1-v0,0,1000,None,0.59186725663717,0.581301347729481,0.884955752212389,-0.991150442477876,13.889,13.7012655984767,0.038956778526306,0.03829224545798,1000,104,0,820,76
212,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed0_i0-v0,0,1000,None,0.140681415929203,0.908190487134157,0.991150442477876,-0.884955752212389,10.529,3.6470754036625,0.028357531070709,0.009702410643285,1000,458,0,542,0
212,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed1_i1-v0,0,1000,None,-0.140681415929203,0.908190487134157,0.884955752212389,-0.991150442477876,10.529,3.6470754036625,0.028357531070709,0.009702410643285,1000,542,0,458,0
673,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed2_i0-v0,0,1000,None,0.340867256637166,0.877332996250905,0.991150442477876,-0.884955752212389,11.174,4.33401938159026,0.030489866495132,0.011664443349657,1000,344,0,656,0
673,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed4_i1-v0,0,1000,None,-0.340867256637166,0.877332996250905,0.884955752212389,-0.991150442477876,11.174,4.33401938159026,0.030489866495132,0.011664443349657,1000,656,0,344,0
105,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed0_i0-v0,0,1000,None,0.011973451327434,0.909274116094992,0.991150442477876,-0.876106194690265,9.959,3.05831963666324,0.028126323461533,0.010465726547233,1000,492,0,508,0
105,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed2_i1-v0,0,1000,None,-0.011973451327434,0.909274116094992,0.876106194690265,-0.991150442477876,9.959,3.05831963666324,0.028126323461533,0.010465726547233,1000,508,0,492,0
99,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed0_i0-v0,0,1000,None,-0.732999999999995,0.446482739635286,0.973451327433628,-0.876106194690265,7.113,2.73500109689192,0.01972732424736,0.007540182386825,1000,936,0,64,0
99,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k2_seed4_i1-v0,0,1000,None,0.732999999999995,0.446482739635286,0.876106194690265,-0.973451327433628,7.113,2.73500109689192,0.01972732424736,0.007540182386825,1000,64,0,936,0
916,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed4_i0-v0,0,1000,None,0.532946902654866,0.626214679678645,0.991150442477876,-0.876106194690265,21.148,17.751622348394,0.056654850006104,0.047045778951484,1000,102,0,632,266
