exp_id,agent_id,env_id,policy_id,exp_seed,num_episodes,episode_return_mean,episode_return_std,episode_return_max,episode_return_min,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,num_episode_done,num_LOSS,num_DRAW,num_WIN,num_NA
442,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.04255,0.343142823762934,0.95,-1.95,47.874,9.28289416076689,0.116731819629669,0.47450907439507,1000,52,0,7,941
103,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.033,0.335732036004907,1.05,-1.95,47.598,10.0641142680317,0.121316991090775,0.507907842531387,1000,52,0,6,942
397,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.01505,0.349972852518591,1.05,-2.35,47.586,10.1019109083381,0.12180859708786,0.502995382207329,1000,57,0,9,934
98,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.12505,0.367518703605681,1.5,-2.35,39.378,16.7717356287297,0.039299500226974,0.39641867088507,1000,322,0,5,673
98,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.1103,0.34815070012855,0.7,-2.7,39.378,16.7717356287297,0.039299500226974,0.39641867088507,1000,322,0,2,676
84,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.01985,0.358780542253897,1,-2.1,47.717,9.59869319230488,0.118263161659241,0.480835228223303,1000,58,0,9,933
246,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0407,0.329504946852092,1.35,-2.05,47.837,9.51727014432185,0.117495219707489,0.487227222498913,1000,50,0,3,947
593,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.04715,0.316590235951775,0.85,-2,46.214,12.1648758316721,0.119828305482864,0.514675319979058,1000,94,0,2,904
553,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0495,0.315308975451064,0.6,-2.1,45.98,12.5521950271656,0.118803847789764,0.495299592345549,1000,99,0,1,900
0,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.09275,0.422249851983397,1.25,-2.4,39.984,16.2019672879561,0.049006637096405,0.46942622958208,1000,316,0,15,669
0,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.1128,0.379000211081736,1,-2.3,39.984,16.2019672879561,0.049006637096405,0.46942622958208,1000,316,0,7,677
77,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0335,0.371702502009335,1.35,-2.2,46.018,12.2721504228069,0.111079875946045,0.461660246615755,1000,100,0,10,890
348,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0468,0.357413989653454,1.3,-2.2,47.462,9.96978214405912,0.122796008110046,0.521167169438563,1000,63,0,8,929
4,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.044,0.32530600978156,0.95,-2,45.127,13.4857284193328,0.109927254676819,0.472687278714059,1000,119,0,5,876
581,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.03625,0.332059388513562,1.2,-2,47.011,10.8895766217057,0.12103248500824,0.510989736462908,1000,74,0,5,921
315,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.03125,0.325216754642193,1,-1.95,47.331,10.5601817692689,0.121511991977692,0.505826243429567,1000,62,0,3,935
199,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0391,0.3574649493307,1.15,-2.25,47.256,10.6421080618456,0.116837025642395,0.482109906079503,1000,62,0,9,929
496,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0571,0.326472954469432,1,-1.95,47.236,10.6998272883257,0.121538375616074,0.511467667171834,1000,64,0,2,934
483,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0267,0.336767145072081,1.25,-2.05,47.209,10.8016350151262,0.121030383825302,0.517599220790915,1000,63,0,4,933
393,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.05015,0.344677352751816,0.8,-2.2,47.155,10.5674488406616,0.118599476337433,0.488451709220464,1000,77,0,5,918
300,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.01415,0.358841577161845,1.2,-2.05,47.685,9.76564257998418,0.122277666568756,0.515678396224176,1000,54,0,9,937
574,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0265,0.370975403497321,1.05,-2.1,47.532,10.0625531551391,0.116988730192184,0.48602464395396,1000,57,0,9,934
491,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.01935,0.357663357782147,1.4,-2.15,47.427,10.3336668709612,0.115449243545532,0.464607756472491,1000,58,0,6,936
728,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.02945,0.345195882796999,1.3,-2,45.524,13.0347774817985,0.111737835884094,0.49054504072689,1000,109,0,7,884
322,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0375,0.350683261647887,1,-2.05,46.21,12.0977642562583,0.116087403774261,0.477527901845755,1000,92,0,9,899
594,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0197,0.364611999254002,1.35,-2.05,47.071,10.8650797972219,0.118025403499603,0.493190742236017,1000,71,0,10,919
5,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.02615,0.353197788073481,1.2,-2.1,47.923,9.30833341689048,0.110430470705032,0.445807900889669,1000,48,0,9,943
168,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.02365,0.340878537752085,1.05,-2.1,47.023,11.2447530430864,0.121342210769653,0.514274591030361,1000,67,0,6,927
690,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.05335,0.329615347791937,1.3,-2.1,44.675,13.8784500215262,0.109029822587967,0.449041568058031,1000,135,0,4,861
687,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.04225,0.326729915220508,1.1,-2.2,47.196,10.5077868269203,0.122112119197845,0.506280363987638,1000,71,0,4,925
592,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.03755,0.351933939113578,1.15,-2.05,47.403,10.267160805208,0.121273009538651,0.499772682094239,1000,64,0,8,928
148,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0247,0.362711882904324,1.35,-2.1,47.786,9.52922892998169,0.121768630981445,0.50415089969828,1000,53,0,8,939
609,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0381,0.351359345969337,1.1,-2.15,47.774,9.51225125824587,0.124296637296677,0.529274040858778,1000,51,0,9,940
679,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.04305,0.328183176747377,0.95,-2,46.99,11.0610080914897,0.123956923007965,0.528461914555684,1000,72,0,3,925
28,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.03955,0.332998945193525,0.95,-2.15,46.181,12.0368699835132,0.117553286075592,0.496747773235846,1000,99,0,3,898
201,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.04,0.363909329366534,1.3,-2.2,47.09,11.0188883286836,0.111915085792542,0.452704298419853,1000,67,0,8,925
2,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0451,0.316908488368487,0.85,-2.15,46.343,12.0419828516736,0.120370157718658,0.523157099808544,1000,87,0,3,910
504,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0337,0.336190883279128,1.1,-2.1,47.361,10.2018958532226,0.120610167264938,0.488695302488011,1000,66,0,5,929
714,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.05845,0.327675292782351,1.15,-1.95,44.929,13.3344650811347,0.109987774133682,0.453447869294252,1000,133,0,6,861
427,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.01455,0.349307597254913,1.15,-2.25,47.714,9.72780571352039,0.120092323064804,0.487327513155013,1000,57,0,4,939
441,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.1271,0.38343916075435,1.15,-2.9,39.757,16.381512475959,0.039744211673737,0.393208709172059,1000,323,0,5,672
441,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.1235,0.371709227757397,0.9,-2.8,39.757,16.381512475959,0.039744211673737,0.393208709172059,1000,323,0,2,675
490,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.1331,0.390447678953275,1.2,-2.3,39.6,16.6213717845429,0.052379282474518,0.474800999716609,1000,333,0,7,660
490,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.13025,0.383806510497152,1.1,-2.35,39.6,16.6213717845429,0.052379282474518,0.474800999716609,1000,333,0,6,661
196,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.1129,0.345063168130127,0.75,-2.3,39.38,16.7855771422969,0.049252393960953,0.456226548260904,1000,319,0,2,679
196,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.11325,0.371277440063358,1.15,-2.4,39.38,16.7855771422969,0.049252393960953,0.456226548260904,1000,319,0,7,674
298,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.05095,0.317445424443321,0.1,-2.1,47.116,10.5672391853312,0.117034372091293,0.481964455741965,1000,76,0,0,924
202,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.04415,0.347639579881232,1.15,-2.2,46.229,11.9801735797108,0.119956893444061,0.506975886517858,1000,98,0,4,898
245,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.1328,0.38975525653928,1.05,-2.6,39.395,16.7882391870023,0.04331288933754,0.422785476388327,1000,334,0,8,658
245,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.1132,0.38004047152902,1.05,-2.45,39.395,16.7882391870023,0.04331288933754,0.422785476388327,1000,334,0,4,662
532,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.0321,0.371859637497807,1.2,-2.25,47.208,10.5435637239028,0.115996176958084,0.482155853731545,1000,69,0,9,922
347,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.03445,0.353681632969539,1.3,-2,47.125,10.6900596350067,0.122212340354919,0.523686745558609,1000,70,0,7,923
152,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.04405,0.35848584002719,1.3,-2,46.898,11.1516633736856,0.115894849538803,0.487654754505372,1000,74,0,7,919
689,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.05335,0.329683602109659,0.9,-1.95,48.083,9.1091224055888,0.124801912307739,0.520828621533746,1000,44,0,3,953
252,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.044,0.310932468552256,0.7,-2,47.904,9.24806920389332,0.113981508255005,0.453645319012119,1000,55,0,3,942
462,1,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.03685,0.334618555223705,1.25,-2.1,47.627,9.95569540514373,0.121830256223679,0.510784924426094,1000,58,0,4,938
493,0,Driving7x7RoundAbout-n2-v0,uniform_random-v0,0,1000,-1.04385,0.344375779490951,1.1,-1.9,47.341,10.458810592032,0.121765934467316,0.515619923734623,1000,61,0,7,932
